Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
201100007419,0.0,7,0,0.0,1.0,1.0,17.0,A01
201300025838,0.0,7,0,0.0,2.0,1.0,2.0,A01
200500055829,0.0,14,0,0.0,2.0,1.0,1.0,B02
201200018195,0.0,33,0,2.0,0.0,1.0,1.0,A01
200600050901,0.0,14,0,0.0,2.0,1.0,2.0,A01
200600058294,0.0,7,0,0.0,2.0,1.0,1.0,A01
201000066431,0.0,30,0,0.0,0.0,7.0,1.0,A01
201000012474,0.0,7,0,0.0,9.0,4.0,15.0,B02
201000004393,0.0,1,0,0.0,2.0,7.0,1.0,B02
200700065566,1.0,14,0,0.0,0.0,0.0,1.0,A01
201400013910,0.0,7,0,0.0,2.0,8.0,13.0,A01
201500049006,0.0,7,0,0.0,0.0,4.0,0.0,D01
200900000596,0.0,7,0,4.0,2.0,6.0,1.0,B01
201300043543,0.0,32,0,14.0,0.0,1.0,0.0,A01
200900069336,0.0,7,0,0.0,2.0,7.0,0.0,B01
200600031960,0.0,1,0,0.0,0.0,4.0,16.0,A01
200700032868,0.0,1,0,0.0,2.0,1.0,1.0,B02
200500065195,0.0,4,0,0.0,0.0,7.0,17.0,A01
200800013981,0.0,33,0,0.0,2.0,1.0,1.0,B01
201300046296,0.0,7,0,0.0,2.0,1.0,2.0,B01
200600054800,0.0,30,0,0.0,0.0,0.0,21.0,B01
201400044205,0.0,7,0,0.0,2.0,3.0,11.0,A01
200800017803,0.0,7,0,0.0,2.0,7.0,15.0,B02
200700025624,0.0,7,0,0.0,2.0,1.0,15.0,A01
200900034253,0.0,7,0,0.0,0.0,3.0,24.0,C01
200600033668,0.0,7,0,0.0,2.0,3.0,9.0,A01
200700033305,0.0,7,0,0.0,0.0,1.0,1.0,B02
201500002930,0.0,7,0,2.0,0.0,2.0,2.0,A01
200800010284,0.0,30,0,0.0,2.0,7.0,17.0,A01
201600015078,1.0,10,0,0.0,2.0,8.0,10.0,A01
201500057289,0.0,7,0,0.0,2.0,1.0,1.0,B01
201300055752,0.0,34,0,0.0,2.0,7.0,17.0,B01
200700032972,0.0,7,0,0.0,2.0,3.0,1.0,B02
200500054129,0.0,7,0,0.0,2.0,6.0,17.0,A01
201100065039,0.0,7,0,0.0,1.0,5.0,1.0,A01
201100060421,0.0,7,0,0.0,2.0,1.0,2.0,A01
200600019996,0.0,7,0,0.0,2.0,1.0,15.0,A01
201500001357,0.0,7,0,0.0,1.0,3.0,15.0,A01
201400057244,0.0,7,0,0.0,2.0,4.0,23.0,B01
201500047433,0.0,7,0,0.0,2.0,1.0,1.0,A01
201100030473,0.0,7,0,0.0,2.0,3.0,1.0,A01
200600067198,0.0,7,0,0.0,2.0,9.0,2.0,B01
201400012855,0.0,7,0,0.0,1.0,1.0,21.0,E05
200800021375,0.0,33,0,0.0,2.0,3.0,3.0,B01
200700077004,0.0,7,0,14.0,0.0,1.0,2.0,B01
201200049752,0.0,7,0,0.0,2.0,4.0,2.0,A01
200900036272,0.0,7,0,0.0,2.0,1.0,1.0,C03
201100005869,0.0,7,0,0.0,2.0,8.0,15.0,A01
201600014136,2.0,7,0,0.0,1.0,2.0,1.0,A01
201400029672,0.0,99,0,1.0,0.0,2.0,2.0,A01
201100021055,0.0,7,0,0.0,2.0,7.0,0.0,A01
201200022361,0.0,30,0,0.0,2.0,4.0,13.0,B01
201200012062,0.0,7,0,13.0,0.0,3.0,21.0,C03
201600038512,0.0,7,0,0.0,1.0,1.0,15.0,A01
200800058848,0.0,2,0,0.0,2.0,7.0,1.0,B01
200800046258,0.0,15,0,0.0,1.0,1.0,1.0,A01
200500033750,0.0,7,0,0.0,2.0,8.0,9.0,A01
201600041359,0.0,7,0,0.0,2.0,1.0,2.0,B01
200500063548,0.0,9,0,0.0,2.0,1.0,1.0,A01
201100004697,0.0,7,0,6.0,0.0,3.0,14.0,A01
201000033596,0.0,7,0,0.0,1.0,2.0,4.0,A01
200500006599,0.0,1,0,0.0,2.0,1.0,1.0,B01
201600014888,1.0,7,0,0.0,2.0,8.0,10.0,A01
200600042124,0.0,33,0,0.0,0.0,0.0,1.0,A01
201100004904,0.0,7,0,13.0,0.0,7.0,1.0,A01
200600002755,0.0,4,0,0.0,2.0,1.0,1.0,B01
201100035689,0.0,7,0,0.0,2.0,3.0,10.0,A01
200600025896,0.0,7,0,0.0,2.0,1.0,1.0,B01
200800039867,0.0,7,0,0.0,2.0,1.0,2.0,A01
201300034875,0.0,7,0,0.0,2.0,1.0,1.0,B01
201200060863,0.0,33,0,1.0,2.0,1.0,17.0,B02
200500055462,0.0,7,0,0.0,2.0,1.0,13.0,B02
201200022548,0.0,1,0,0.0,2.0,8.0,2.0,B01
200600030890,0.0,30,0,0.0,1.0,3.0,1.0,A01
200900066693,0.0,2,0,0.0,2.0,1.0,15.0,B02
200900010748,0.0,7,0,0.0,2.0,3.0,1.0,B01
200700023245,0.0,4,0,0.0,1.0,1.0,1.0,A01
200800031361,0.0,7,0,0.0,2.0,1.0,24.0,B01
200800014126,0.0,7,0,0.0,2.0,2.0,9.0,A01
200800015993,0.0,2,0,8.0,0.0,1.0,1.0,B02
200800016990,0.0,38,0,0.0,2.0,1.0,1.0,B02
200800005731,0.0,7,0,4.0,2.0,1.0,2.0,A01
201600010884,1.0,10,0,0.0,2.0,3.0,2.0,B01
201300049347,0.0,33,0,0.0,2.0,1.0,17.0,A01
200500065074,0.0,4,0,0.0,2.0,1.0,1.0,B01
201000063397,0.0,30,0,0.0,2.0,1.0,15.0,A01
200800011647,0.0,7,0,0.0,2.0,1.0,19.0,A01
200800022279,0.0,7,0,0.0,2.0,2.0,1.0,B01
200600061052,0.0,7,0,1.0,2.0,0.0,9.0,A01
201600002428,2.0,7,0,0.0,2.0,1.0,1.0,A01
200700048136,0.0,17,0,0.0,0.0,0.0,0.0,C03
201300014780,0.0,7,0,0.0,0.0,1.0,1.0,B01
201100063814,0.0,1,0,0.0,2.0,1.0,1.0,B01
201100018058,0.0,33,0,0.0,2.0,5.0,23.0,B02
201600032132,1.0,7,0,0.0,2.0,1.0,13.0,A01
200500032957,0.0,7,0,0.0,2.0,7.0,7.0,A01
201100034474,0.0,2,0,0.0,2.0,1.0,2.0,B01
201000053153,0.0,7,0,0.0,2.0,1.0,1.0,B01
201600045701,2.0,7,0,0.0,2.0,1.0,2.0,B01
201100014144,0.0,7,0,13.0,0.0,3.0,1.0,A01
201500045510,0.0,7,0,0.0,2.0,4.0,2.0,B01
200900013480,0.0,7,0,0.0,0.0,3.0,17.0,B02
200700068920,0.0,31,0,0.0,2.0,3.0,1.0,A01
200700009327,0.0,30,0,0.0,2.0,1.0,15.0,A01
201400030093,0.0,7,0,0.0,2.0,4.0,15.0,B01
201500025225,0.0,7,0,0.0,2.0,7.0,1.0,B01
200900023996,0.0,7,0,0.0,1.0,0.0,0.0,A01
201100063533,0.0,30,0,0.0,0.0,8.0,1.0,A01
201200009681,0.0,1,0,0.0,0.0,3.0,19.0,B02
200700061755,0.0,10,0,0.0,2.0,2.0,19.0,A01
200800013350,0.0,7,0,0.0,1.0,1.0,1.0,A01
200700039794,0.0,31,0,0.0,0.0,7.0,1.0,A01
201600046994,1.0,7,0,0.0,2.0,4.0,0.0,B01
200900026077,0.0,7,0,0.0,1.0,2.0,21.0,A01
201600004416,1.0,7,0,8.0,0.0,1.0,14.0,A01
201200008759,0.0,10,0,0.0,2.0,2.0,15.0,A01
200500080319,0.0,18,0,0.0,1.0,0.0,1.0,A01
201500055931,0.0,2,0,2.0,0.0,1.0,14.0,A01
200600026078,0.0,7,0,0.0,2.0,3.0,23.0,B01
201400013040,0.0,7,0,0.0,2.0,1.0,0.0,B01
200700062810,0.0,7,0,0.0,2.0,1.0,1.0,A01
200700015701,0.0,7,0,11.0,0.0,1.0,1.0,A01
201200022917,0.0,7,0,0.0,1.0,2.0,1.0,A01
200600060033,0.0,7,0,0.0,2.0,0.0,13.0,A01
201600011990,2.0,17,0,0.0,2.0,1.0,15.0,B01
201100059331,0.0,13,0,0.0,2.0,4.0,2.0,B01
201300002766,0.0,7,0,0.0,2.0,3.0,1.0,B02
