Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201400047338,14,6,21,1330,1,1,1,1.0,2.0,66.0,AUTOROUTE A1,M,4891930.0,235757,930
200900032962,9,11,14,1710,5,2,2,1.0,7.0,103.0,"62, RUE REAUMUR",,,,750
200600060880,6,10,17,1130,1,1,1,1.0,3.0,71.0,ROUTE NATIONALE 113 - MO,,,,130
200800008910,8,2,19,1515,1,2,1,1.0,3.0,507.0,"3, CARNOT SADI RUE",,,,590
200900013362,9,4,28,1425,1,2,1,1.0,2.0,300.0,"64, CORDELIERS   AVENUE",,,,170
201100000983,11,4,14,445,3,1,1,1.0,2.0,369.0,,M,4935900.0,273000,600
201100017108,11,5,19,1900,1,1,1,1.0,6.0,179.0,,M,4560600.0,587900,730
200800012545,8,3,16,2107,5,2,1,1.0,6.0,184.0,"1, GALLIENI JOSEPH (AVEN",,,,420
201300017711,13,2,9,1015,1,1,1,4.0,3.0,267.0,,M,0.0,0,580
200700016285,7,3,20,1850,5,2,1,2.0,6.0,19.0,54 AV SIMON BOLIVAR,,,,750
201600049098,16,3,26,200,5,2,2,1.0,3.0,388.0,BOCAGE (DU),,,,690
200700008689,7,2,1,2035,5,2,1,1.0,6.0,238.0,"28, PUITS MAUGER (DU)",,,,350
200900032971,9,11,15,700,1,2,5,2.0,7.0,118.0,RUE DE LA CHAPELLE,,,,750
201600010530,16,5,7,1152,1,2,1,1.0,3.0,29.0,"00, VALLAURIS (AVENUE DE",M,4355887.0,703041,60
201400007863,14,8,11,1200,1,1,1,1.0,1.0,86.0,,M,0.0,0,40
201600046174,16,9,21,1345,1,1,1,1.0,4.0,36.0,AUTOROUTE A86,,,,920
200800033949,8,6,6,1731,1,2,3,1.0,3.0,85.0,"66, MONTJOVIS (AVENUE)",,,,870
201100064456,11,3,8,1700,1,2,1,1.0,4.0,112.0,ECHANGEUR BERCY,,,,750
