Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh
201100038344,1.0,1,4,1,0.0,21.0,0.0,0.0,0.0,1987.0,B01
201000052685,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1986.0,A01
201300001489,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1954.0,A01
200700037535,1.0,1,1,1,3.0,13.0,0.0,0.0,0.0,,A01
200700050914,1.0,1,2,1,5.0,11.0,0.0,0.0,0.0,1967.0,A01
200900056997,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1978.0,B01
200500032454,1.0,1,4,2,9.0,11.0,0.0,0.0,0.0,1985.0,A01
201200018329,1.0,1,2,1,5.0,21.0,0.0,0.0,0.0,1942.0,A01
200900034564,2.0,2,4,1,0.0,11.0,0.0,0.0,0.0,1979.0,B01
201500045826,2.0,2,4,2,0.0,13.0,0.0,0.0,0.0,1997.0,A01
201300013478,1.0,1,4,1,0.0,11.0,0.0,0.0,0.0,1964.0,A01
201200051301,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1972.0,C01
200800059409,1.0,1,4,1,9.0,11.0,0.0,0.0,0.0,1985.0,B01
201500001124,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1987.0,A01
201300043413,2.0,2,4,1,5.0,11.0,0.0,0.0,0.0,1983.0,A01
200700041611,3.0,2,4,1,0.0,11.0,0.0,0.0,0.0,1958.0,A01
201200044831,2.0,2,3,1,5.0,31.0,0.0,0.0,0.0,2012.0,B01
200700022397,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1981.0,A01
201000033751,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1957.0,A01
201600035275,1.0,1,3,1,9.0,13.0,0.0,0.0,0.0,1981.0,A01
200600018407,1.0,1,3,1,5.0,11.0,0.0,0.0,0.0,1983.0,A01
201000047050,,3,4,2,0.0,93.0,3.0,3.0,1.0,1954.0,A01
200900027885,2.0,2,4,1,0.0,21.0,0.0,0.0,0.0,1992.0,B02
201400010771,1.0,1,1,1,5.0,13.0,0.0,0.0,0.0,1951.0,A01
201400021472,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1998.0,B01
201100045400,1.0,1,1,1,9.0,11.0,0.0,0.0,0.0,1976.0,A01
201400023395,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1970.0,B01
200600045317,2.0,2,1,1,0.0,10.0,0.0,0.0,0.0,1983.0,A01
200800033442,0.0,3,4,2,5.0,0.0,5.0,2.0,2.0,1993.0,A01
201300022302,1.0,1,3,1,1.0,11.0,0.0,0.0,0.0,1992.0,A01
200700077832,1.0,1,1,1,9.0,11.0,0.0,0.0,0.0,1987.0,A01
200800000405,2.0,2,3,2,0.0,11.0,0.0,0.0,0.0,1967.0,A01
200500076748,1.0,1,4,2,0.0,21.0,0.0,0.0,0.0,1965.0,B01
201600029427,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,2002.0,A01
200900001403,1.0,1,4,2,5.0,13.0,0.0,0.0,0.0,1984.0,A01
200900026048,1.0,1,4,1,9.0,11.0,0.0,0.0,0.0,1982.0,A01
200500002824,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1952.0,B01
201000017456,1.0,1,3,2,2.0,22.0,0.0,0.0,0.0,1999.0,B02
201300043752,1.0,1,1,1,5.0,13.0,0.0,0.0,0.0,1985.0,A01
201400058097,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1967.0,A01
200700058384,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1950.0,A01
201600048339,2.0,2,3,2,5.0,21.0,0.0,0.0,0.0,1996.0,A01
201000068277,1.0,1,1,2,9.0,11.0,0.0,0.0,0.0,1960.0,A01
200600027251,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1982.0,A01
200800060786,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1966.0,A01
200800016380,2.0,2,3,2,0.0,22.0,0.0,0.0,0.0,1989.0,B02
201100060259,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1989.0,B01
201500023339,1.0,1,1,1,0.0,13.0,0.0,0.0,0.0,1963.0,C01
200900062045,1.0,1,3,1,0.0,11.0,0.0,0.0,0.0,1932.0,B02
201500040949,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1968.0,A01
200700031402,1.0,1,1,1,0.0,21.0,0.0,0.0,0.0,1958.0,A01
201100038767,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1967.0,B01
200800008197,0.0,3,4,2,5.0,0.0,1.0,3.0,1.0,1944.0,B01
200500009613,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1981.0,A01
201600044584,1.0,1,4,1,1.0,21.0,0.0,0.0,0.0,1967.0,B01
201500051921,1.0,1,1,1,4.0,13.0,0.0,0.0,0.0,1963.0,B01
201500018417,1.0,1,3,1,5.0,92.0,0.0,0.0,0.0,1990.0,A01
201500040123,1.0,1,3,1,0.0,21.0,0.0,0.0,0.0,1992.0,B01
201200028825,1.0,1,4,1,0.0,23.0,0.0,0.0,0.0,1993.0,A01
201000001613,1.0,1,3,1,0.0,11.0,0.0,0.0,0.0,1985.0,B02
200800039851,1.0,1,4,1,0.0,21.0,0.0,0.0,0.0,1982.0,B01
201600007375,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,2000.0,B02
200500087940,1.0,1,4,1,9.0,21.0,0.0,0.0,0.0,1989.0,B01
201500017275,1.0,1,2,1,5.0,21.0,0.0,0.0,0.0,1952.0,A01
201300002481,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1990.0,A01
201600028283,1.0,1,1,1,0.0,13.0,0.0,0.0,0.0,1986.0,B01
200500001045,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1973.0,A01
201500036161,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1967.0,B01
201200021160,1.0,1,4,2,3.0,11.0,0.0,0.0,0.0,1962.0,A01
200800000011,2.0,2,3,2,0.0,21.0,0.0,0.0,0.0,1991.0,A01
201200061835,1.0,1,1,2,0.0,11.0,0.0,0.0,0.0,1969.0,A01
200800018696,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1958.0,B01
200900022635,2.0,2,4,2,0.0,11.0,0.0,0.0,0.0,1946.0,B02
201600041850,,3,4,2,2.0,93.0,4.0,5.0,1.0,2005.0,A01
201100044470,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1948.0,A01
201600056257,,3,4,2,9.0,,4.0,3.0,1.0,1998.0,Z01
201300034065,1.0,1,1,1,5.0,13.0,0.0,0.0,0.0,1950.0,A01
201000028099,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1984.0,B01
